"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"41","Skill","Bale","Peasant","-","2","2","+","1","","","Slow","","Disarm","Travel Attack","{Reach} <(This can draw range diagonally once.)> Deal 7 damage to target enemy. {Travel} them to another target tile.","""I thought I smelled me a rat in tha field!"" // ""Fer tha last time Bernard, ask an' I'll jus' give ya some o' me hen's eggs!"" // You'll never admit it, but they're your favorite kind of trash to take out.","Wasan Techawibulchai","f16793335bfd424e9028a932173a9149","Gray","","S3","Class",""
"42","Skill","Barter","Peasant","","0","2","-","2","","","","Silence","","Ability","Another target player draws a card. Choose one: - Gain control of a card they control that's {Attached} to a tile. - They give you two cards from their hand. {Reveal} them.","Market streets in Calbrian towns are full of hawks, fences and merchants alike. // You've found that anything has a price when you're generous enough. // Years spent haggling has taught you how to find a good deal.","Gustavo Guschch","49bec90013374d99bb89bc5f20897365","Gray","","S3","Class",""
"43","Skill","Chase Off","Peasant","-","1","1","+","2","","","Slow","Silence","","Travel Ability","{Travel} target enemy one tile away from yourself. Gain [n].","""Get out 'ma field, ya feather-thief!"" // ""Wipe that smirk off yer face or so help me!"" // ""Can ye have any less self respect?! By tha Lady!""","Thomas Dumey","f4d9e03292944dbab91a7d5f5c1df754","Gray","","S3","Class",""
"44","Skill","Farmland","Peasant","-","2","2","+","2","","","","Silence","Disarm","Aura Buff","Gain {Luck} [lu], then {Attach} to target empty tile. At the start of your turn, if you're {near} {Farmland}, gain [p].","If the land endures, so will the people. // The golden glory of the realm, or so the King used to say. // The harvest will be good this year. You can feel it on the winds.","Septimius Ferdian","0d2a4e8d3a9f4fb2b781eb959e4b5c38","Gray","","S3","Class",""
"45","Skill","Grumble","Peasant","","0","1","-","2","","","Slow","Silence","Disarm","Instant Ability Buff","{Counter} target card unless its controller pays 1 {Resource}. If they pay, draw a card and gain {Luck} [lu].","""It ain't fair, I tell ya... it ain't like 'twas, no. Back in ma day, the king'd done sumfin."" // ""Oh, jus' my luck. Why don't ya take me kettle? And me hens, too?!"" // ""Ye think yer funny? My sides are splittin'! Grand show, 'ere!""","Anderton Oliveira","b5d219d183fe4a729474e8c76f13bac3","Gray","","S3","Class",""
"46","Skill","Happy Days","Peasant","-","1","3","-","","","","","Silence","","Aura","Gain two {Luck} [lu], then {Attach} to yourself. The first time you flip {Luck} each turn as a {reaction} to an opponent's card, flip an additional one from the supply. <(Resolve both flips.)>","This week has been just jolly-swell! // Time for another wonderful day! // Everything's in tip-top shape!","Wasan Techawibulchai","b13833d203854a84b375844ae54bddb1","Gray","","S3","Class",""
"47","Skill","Haymaker","Peasant","-","2","2","-","1","","","","Silence","Disarm","Ability Attack","{Reach} <(This can draw range diagonally once.)> Deal 10 damage to target enemy. They gain one less [a] at the start of their next turn.","""Back! Back, I tell ya! Shoo, scram!"" // ""There's more're that came from! Try me!"" // A pitchfork and a dream is all you need to defend your home.","Thomas Dumey","e9995732350b4092a518facb4942149e","Gray","","S3","Class",""
"48","Skill","Horseshoe","Peasant","-","1","2","-","2","","","","Silence","Disarm","Ability Attack","Deal 6 damage to target enemy. Flip {Luck} [lu] from the supply. If you flip [clover], gain two {Luck} [lu]. If you flip [rooster], {Stun} them twice. <(They lose two resources of their choice.)>","""Right'n tha kisser! Hah!"" // Horseshoes are said to be good luck. You don't know why. // ""Oy, don't come 'round 'ere askin' for 'more taxes' again ye farce!""","Wasan Techawibulchai","b1270bd69750432290d8309f567c4a50","Gray","","S3","Class",""
"49","Skill","Hot Tar","Peasant","-","1","1","+","2","","","Slow","Silence","Disarm","Instant Ability Debuff","Choose one: - {Slow 1} [o] target opponent. - {Silence 1} [i] target opponent. Then, {Stun} them. <(They lose a resource of their choice.)>","""I'm not payin' the baron's taxes, and that's that!"" // ""The feathers're comin' soon, if ye don't turn tail now!"" // A grisly tradition in the backwoods that you're all too happy to practice.","Septimius Ferdian","a08806bcceda41b9b101b30cf932e849","Gray","","S3","Class",""
"50","Skill","Lucky Hit","Peasant","-","1","1","+","1","","","","","Disarm","Buff Attack","{Reach} Deal 4 damage to target enemy. Gain {Luck} [lu].","Your eyes betray the same surprise their face wears when the hoe introduces itself. // Gah, you missed! Or did you? // ""Lady, guide me 'and to strike this brigand down!""","Gustavo Guschch","d17db730725a4c0199df634d1d26e458","Gray","","S3","Class",""
"51","Skill","Muddy Field","Peasant","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. After an opponent enters or leaves {Muddy Field}, {Slow 2} [o] them.","You always said you'd get around to fixing it. Well, now you're glad you haven't. // Such neglected land is common across Calbria as the barons drain the peasants dry. // This used to be good land until the baron took it for practice grounds.","Wojciech Depczyński","85956aed55aa4932b3ad54f208ed2e01","Gray","","S3","Class",""
"52","Skill","Rest","Peasant","-","1","1","+","","","H","","","","Ability","End your turn. <(When possible, the next core action you take this turn must be to end your turn.)> At the start of your next turn, if you didn't play cards since {Rest}, gain [a][n] and {Luck} [lu].","It's been your favorite spot to get some shut eye for years. // ""Jus' a quick... break... *snore*"" // All this running around can be a bit much.","Thomas Dumey","27c57ab7cbb44dee88ef25e2029f0240","Gray","","S3","Class",""
"53","Skill","Ruffle","Peasant","-","1","1","+","2","","","","","Disarm","Debuff Buff","{Disarm 2} [d] target opponent. Gain {Luck} [lu].","""Ya think this a joke? Get 'em, Walter!"" // ""Ye want Walter? Then have Walter!"" // ""Walter wants yer blood there, mister! I'd oblige 'im!""","Wasan Techawibulchai","c1aa051dd5b4430bb934a3e3aa025031","Gray","","S3","Class",""
"54","Skill","Scold","Peasant","-","1","1","-","2","","","","","Disarm","Debuff","{Slow 2} [o] and {Silence 2} [i] target opponent.","""How many times do I gotta say? An' then ya go off an' join these good-fer-nothins? Yer pa's gunna know 'bout this! Why, I oughta—"" // When your wrath erupts, the whole village hangs their head in shame. // Your face brightens. Your hands tremble. It's time for a reckoning.","Gustavo Guschch","575e6aec6ed0496dbc6e340d67ea48b9","Gray","","S3","Class",""
"55","Skill","Shovel","Peasant","-","1","1","+","1","","","","Silence","Disarm","Ability Attack","{Reach} Deal 4 damage to target enemy. {Stun} them. As you play an {Attach} card that targets a tile {near} you, you may discard {Shovel} to reduce its cost by [a] or [p].","""Well, don't jus' stand there. Take this here shovel an' get diggin'!"" // ""This 'ere's a workin' weapon. An' it'll work on yer grave!"" // It could be sharper, more balanced and sturdier. But it'll do the job.","Wojciech Depczyński","f02e05b062e54d7f8f3dcbd6ca000a9a","Gray","","S3","Class",""
"56","Skill","Smithy","Peasant","-","2","2","+","2","","","","Silence","","Aura","{Attach} to target empty tile. The first {Attack} card you resolve while {near} {Smithy} each turn deals more damage equal to its printed {Resource} cost. <(An attack that costs [-2+2] deals 2 more damage.)>","The local forge has never done you wrong. // ""What's this cabble-shod?! Ye need a real blade, lad."" // Any good tradesperson knows to keep their tools in pristine condition.","Wojciech Depczyński","bfca141edb4446b6ba21363dae4c084a","Gray","","S3","Class",""
"57","Skill","Stubborn","Peasant","-","0","2","-","","","H","","","","Aura","Gain {Luck} [lu], then {Attach} to yourself. If you would take damage for the first time each turn, instead take 1 less.","""Ye think this the worst I've seen? There much dire'n stormy cold."" // And thus, when the sorcerer bellowed, ""Die!"" The peasant spake, ""Sod off!"" // ""Ye think yer the worst I've seen? Pass the cud.""","Anderton Oliveira","8e94317fa747483eb6cc4537be72879b","Gray","","S3","Class",""
"58","Skill","Thresh","Peasant","-","1","1","-","1","","","","","Disarm","Debuff Attack","{Reach} Deal 5 damage to target enemy. {Silence 1} [i] and {Disarm 1} [d] them.","""Ye flabberin' brigands! Ye cannae have me prize hen!"" // Such a tool can beat flesh as well as grain. // ""What do those haughty lads say again? Have at thee!""","Wojciech Depczyński","2132269e924a423584cae3561be527cf","Gray","","S3","Class",""
"59","Skill","Toil","Peasant","-","2","2","+","","","","","Silence","","Ability","Search your deck for a card with a {Resource} cost of 3 or less and {attach} it to an {empty} tile {adjacent} to you. Shuffle your deck.","""'Hard work, no doubt, but worth it."" // More rote memory than conscious labor. // No civil unrest will stop your chores.","Septimius Ferdian","de48f9a6fc3d490199381b0c3357b78f","Gray","","S3","Class",""
"60","Skill","Watchtower","Peasant","-","1","1","-","","","","","Silence","","Aura","{Attach} to the tile you're in without another card {Attached}. At the end of your turn, deal 3 damage to and {Slow 1} [o] target enemy within two tiles of {Watchtower} that isn't in {Watchtower}.","""There! Stick 'im! Don't hit Walter!"" // ""That's the third today!"" // The peasantry guard their own land.","Wojciech Depczyński","e65d7181f5bd4789ad72856a71eebcd4","Gray","","S3","Class",""
"121","Skill","Blackjack","Ruffian","-","1","2","+","1","","","","","Disarm","Attack Debuff","Deal 1 damage to target enemy. {Silence 1} [i] and {Disarm 1} [d] them.","""Oh, ye think this a negotiation? Here's my argument, friend!"" // Not just the peasantry take out loans and suffer the consequences. // ""If ye'd like to keep yer toes, best find my coin in that lordly castle o' yers!""","Anderton Oliveira","c0580f37f54b4fb4bee198a911a5ed2d","Black","","S3","Spec",""
"122","Skill","Bum Rush","Ruffian","-","1","1","+","","","","Slow","","Disarm","Travel Attack","{Travel} up to two tiles towards another target character, then, deal 3 damage to them if they're {near} you.","""No time fer piddle-possin'. Let's go!"" // You've got no time for waiting around. // ""I've got ye now, ye lout!""","Thomas Dumey","8eadab64121b431f8a2752ce087f4374","Black","","S3","Spec",""
"123","Skill","Headbutt","Ruffian","-","1","1","+","1","","","","Silence","Disarm","Ability Debuff","Choose one: - {Destroy} target card. - {Silence 2} [i] target opponent.","""An' that's fer Walter! An' that's fer mum!"" An' that's fer bein' a greedy hobber!""","Gustavo Guschch","4f43866602c14f55860705796e7be39e","Black","","S3","Spec",""
"124","Skill","Jawbreaker","Ruffian","-","1","2","-","1","","","","","Disarm","Debuff Attack","{Slow 2} [o] and {Disarm 2} [d] target enemy. {Combo} - deal 5 damage to them.","""Ye done insultin' me? Allow me ta introduce ya ta some 'county justice', Fletcher!"" // ""This 'uns fer me mum, bless 'er heart!"" // It doesn't take much to provoke you at the tavern.","Wasan Techawibulchai","70af6671406242239d6736d21770d300","Black","","S3","Spec",""
"125","Skill","Knuckledust","Ruffian","-","2","2","+","","","","","Silence","","Ability","Choose one: - Draw two cards. - Gain [a]. {Combo} - instead, do both.","""Oh, this is gonna be good.""","Wojciech Depczyński","a95011a101c64935820e5e28f0ca789c","Black","","S3","Spec",""
"126","Skill","Lights Out","Ruffian","-","2","3","-","1","","","","Silence","Disarm","Ability Attack","Deal 12 damage to target enemy. {Combo} - {Stun} them three times. <(They lose three resources of their choice.)>","""It's nothin' personal, kid."" // ""Say gu'night, Yer done for."" // ""Better luck next time, sport.""","Wojciech Depczyński","eb2763171d9b4f7883971f2d58f19be6","Black","","S3","Spec",""
"127","Skill","Loose Coins","Ruffian","","0","1","+","","","","","","Disarm","Buff","Only play {Loose Coins} immediately after successfully {Attacking} an enemy. {Attach} to an empty tile within two tiles of them. After you enter {Loose Coins}, gain [n] and return it to your hand.","""Looks like there's more 'ere that came from!""","Anderton Oliveira","18a1ac012594471c929853c2c1a88f08","Black","","S3","Spec",""
"128","Skill","Right Bastard","Ruffian","-","2","2","+","","","","","Silence","","Aura","{Attach} to yourself. Once per turn, after you {Stun} an opponent, {Slow 1} [o] them. At the start of your turn, if you're {near} an enemy, gain [p].","""I don't follow your prissy rules, knight.""","Thomas Dumey","7b0700a459474dde9a4aa3907224b1f4","Black","","S3","Spec",""
"129","Skill","Sucker Punch","Ruffian","-","1","1","+","1","","","","Silence","Disarm","Ability Attack","Deal 4 damage to target enemy. You may play a card. They can't {React} to it. <(Instant cards and luck tokens are reactions.)>","The yeoman reached for the bounty. He laughed, and reached for her gut. // ""I got a message for the sherrif right 'ere. Allow me to show ya."" // ""Yer the muscle here? Gimme a break.""","Septimius Ferdian","2a94bbc9f0574b5ba394cf1868e7e450","Black","","S3","Spec",""
"130","Skill","Tussle","Ruffian","","0","2","-","1","","H","","","","Instant Ability","{Counter} target card unless its controller pays 3 {Resources}. Then, {Stun} its controller. <(They lose a resource of their choice.)>","""Oy, need a hand with that? Hahaha!"" // ""Tap out any time ye'd like. Hahaha!"" // ""Oy, ye lil' pig! I'll stick ye fer that!""","Wasan Techawibulchai","71c3b5b3e7974d139d53db92b94a0192","Black","","S3","Spec",""
"131","Skill","Adder's Kiss","Baron","-","1","2","-","2","","","","Silence","","Aura","{Attach} to target opponent. At the end of your turn, {Poison} [pi] them. Then, if they have [pi][pi][pi] or more, they discard a card.","""My, what an unfortunate accident!"" // Your snakes frequently 'get loose'. // Nobles ponder your next victim.","Wojciech Depczyński","dad8db9d23744b6291995d947d00eb23","Black","Blue","S3","Spec",""
"132","Skill","Catalyst","Baron","","0","3","-","2","","","","Silence","Disarm","Ability Debuff","{Poison} [p] target opponent three times. This can cause them to exceed their max {Poison}. Then, their {Poison} triggers.","Yes, of course. It's finally time. // Even the Alchemical Society of Alta would envy this achievement. // Would it not be shunned and reviled, the fools at the Academy would praise you.","Wojciech Depczyński","0a5960bc100b413caf7bc9db885a3616","Black","Blue","S3","Spec",""
